Label,IQGAP1,FOXO1,CDC42EP4,BE501966,AF130091,CRISPLD2,HOXD11,C15orf59,GLCE,HCFC1,SBDSP1,PLP2,CRISPLD2,INSM1,XYLB,AI559696,DPH2,BE501966,1559295_at,RHPN1,GNL1,AK022015,HCFC1,WBP4,RPRML,MDM1,SIN3A,EPHA10,NLRP12,BM728509,DDX19A,HPN,AIFM2,DNAJB5,TMEM246,CPNE7,SECTM1,CALD1,NSDHL,PRKACA,KIAA1549,CDC42EP4,ADAM2,240215_at,ANXA10,MYH9,NEDD1,DLX2,NR3C1,SLC43A1,LONRF1,1565558_at,CAPZB,RHOQ,IL6R,ZBTB20,IRAK3,TMEM35B,EFS,KCNAB1,RNF144A-AS1,POLR1B,BICD2,ANOS1,MEF2A,DCAKD,RAP1GAP,HOXC4,TMEM43,ZNF70,CCDC14,PDE4D,PARVA,MOB1A,SAMD8,RAP1A,SPRN,DEK,ARHGAP1,NOA1,SLMAP,DLX1,POLR3GL,NUDC,PARM1,BF196924,AW960100,OPA1,NKIRAS1,PENK,SNHG19,AI033097,SIX4,WRB,KCNN1,AI939586,LINC01296,GPR1,AF147403,UGT2B4,EPCAM,PLCL1,PA2G4,MAMDC2,LOC441204,AI652919,LGALS3,LINC00665,SLIT1,AKIP1
1,1390.707367,232.5960333,391.8785333,1459.72,113.274,1050.67715,38.9582,30.03575,223.72,509.7695,987.0605,683.416,1050.67715,240.0415,26.3953175,504.304,294.739,1459.72,12.5695,102.33295,147.397032,126.355,509.7695,198.9133333,175.193,90.5597,320.37165,40.73923333,67.6517,10.8892,123.3524525,1898.7,68.89765,29.5217,27.98425,52.0693,22.2031,463.2860636,307.1775,111.02124,231.776,391.8785333,123.005,14.177,11.1768,686.017,151.9137,229.78575,180.6294,567.999,155.6683667,190.946,696.818375,635.3740483,49.75214333,691.1400083,47.09396667,142.724,236.778,42.723674,54.88066667,181.688425,130.2828225,100.5579,179.593825,56.23143333,242.16785,252.471,192.012575,38.4516,492.9733567,182.3363833,262.53,136.07325,238.65595,74.442275,37.4139,1526.96,348.702575,742.652,210.83055,364.94675,184.059,875.0772533,230.685,29.7279,5.18744,201.021775,153.4,27.07004,2269.18,117.959,123.2872,321.826,13.169,38.1252,334.529,5.73766,28.2299,6.91831,2513.31,55.754,628.225,95.9092,56.441375,32.6741,545.386,189.8802875,123.0753,182.5157
1,1698.328333,243.1884333,436.1537333,790.416,152.258,1471.971,25.853,22.785,295.9,536.7600333,1243.9215,483.515,1471.971,44.3768,28.4363275,452.516,161.423,790.416,11.6592,68.17935,125.233972,132.857,536.7600333,167.6176667,91.6845,100.12565,351.7314,15.52015667,55.7857,9.94999,153.8504775,1184.56,85.63535,46.33115,68.6193,50.2185,52.6006,984.2498091,220.943,152.3548,181.153125,436.1537333,36.8971,17.7017,11.4863,553.709,191.2543,344.61875,510.9198,402.71,174.7360667,87.7771,922.510045,675.06864,71.34985,852.6051667,48.25193333,310.809,166.1575,42.741026,23.35796,165.735525,141.28965,195.8256,199.22795,45.88783333,86.12705,229.709,196.534225,33.72205,343.0363333,237.7295,237.7482857,299.46525,392.59685,63.179775,28.6039,1775.71,311.889725,390.678,233.413,315.8145,207.634,819.01199,801.33,18.4836,50.3709,241.145525,168.502,29.0425,1637.51,172.18,86.77385,717.695,12.3493,18.8316,407.911,4.96028,30.95045,4.81046,2652.9,90.26735,487.815,78.958,30.65075,15.5884,1122.09215,124.0437075,58.3115,153.99935
1,1538.764633,196.4229333,406.8924,842.691,136.974,983.0693,28.8775,27.96905,328.334,487.53692,1077.224,609.796,983.0693,427.9405,27.288735,546.423,230.903,842.691,9.18727,83.16595,116.921606,139.43,487.53692,161.98,162.721,86.4856,310.9701,26.96143333,64.4678,12.9811,131.8073675,1427.98,61.5271,34.0141,45.33215,54.5679,18.8555,586.4859545,242.112,124.9785,286.66685,406.8924,88.9276,14.3408,14.1219,619.582,205.0000333,227.539545,241.22954,689.923,241.4917,113.991,800.19559,597.3356517,45.38058667,1094.92435,55.45816667,204.247,129.11385,42.983964,16.3524,212.78625,117.80555,104.4025,181.835075,54.4944,127.44415,53.8794,199.91295,39.97805,538.2716667,212.53805,218.5707143,195.911575,310.3245,70.0078475,26.6558,1844.86,338.790325,731.518,211.9625,255.7191,162.635,821.8478567,471.8895,21.5365,12.1271,204.502525,212.555,18.093315,3184.98,144.932,159.6397,347.994,10.0811,26.1235,254.646,6.9406,29.3621,6.70631,3425.47,40.9415,582.937,77.8575,64.9531,25.0948,632.1472,174.704315,93.50215,198.0187
1,1758.913633,234.1833667,598.3726333,1482.84,165.77,1394.78745,54.2037,27.983,369.058,508.5212433,1390.07,625.175,1394.78745,43.37685,23.8284525,660.779,156.407,1482.84,11.0006,77.39085,141.545894,134.067,508.5212433,220.9121667,191.692,120.5195,332.0866,17.75482333,55.81235,11.7872,134.401915,916.55,99.4959,55.60995,91.4352,43.8544,63.983,954.7441545,259.7835,124.10079,184.353125,598.3726333,38.1307,19.7301,9.6683,619.931,178.3391,116.97985,294.63926,260.7,241.8516667,122.188,1134.970543,638.7438067,67.87273667,805.8740833,58.9311,253.279,383.5265,102.42926,12.37592,125.7113,128.385525,291.7989,232.477025,45.91786667,118.9373,86.8254,202.535625,40.6001,502.1606333,225.2864833,282.4117143,205.427925,376.9321,96.188125,23.5389,1753.91,338.7257875,439.487,245.917475,150.61075,235.301,926.5850567,844.78,21.1951,24.2447,227.92705,127.846,41.46595,1789.67,141.984,92.76515,468.746,12.3493,20.1119,889.852,6.01411,33.91275,5.01048,2270.48,85.40775,459.264,103.233,46.4463,12.5186,1448.07485,84.040525,33.69125,268.5188
1,1363.8758,172.3242,335.9155667,1085.46,157.673,764.722,19.0052,24.305,344.123,364.4990433,1200.5315,640.38,764.722,436.321,33.83757,634.539,313.746,1085.46,10.8471,112.19015,144.568864,133.34,364.4990433,180.0758,67.9914,103.8,304.86785,28.57332333,63.8278,11.6046,110.54777,2981.01,57.92265,59.2232,33.3905,73.7901,35.6699,719.3681364,306.5125,99.461935,207.267875,335.9155667,31.0347,15.0752,12.0761,639.539,181.6327,74.19553,273.78676,868.061,231.1097333,49.0605,992.4305,696.7725917,45.5098,478.248225,55.15083333,233.033,169.622,48.863876,27.05206667,195.057725,132.55021,102.47155,211.73095,46.42816667,176.16625,440.994,184.778075,52.04195,471.50492,205.6252833,252.3451571,190.5966,296.4042,93.759625,29.1355,1564.77,278.8477425,820.052,263.54985,82.30885,250.198,957.5066733,324.781,18.5796,29.2865,234.28145,183.507,16.04315,3543.33,142.331,134.89405,667.35,13.109,26.439,161.899,6.03248,26.32335,13.6288,3119.28,75.2246,726.8875,154.408,58.086825,17.1633,860.5428,181.8946325,250.237,259.34225
1,1512.3895,203.0351667,371.8565,1017.98,176.239,803.90905,21.0865,34.1171,183.984,448.6840333,1066.2845,194.918,803.90905,402.4855,25.962185,778.72,246.948,1017.98,15.4718,151.1865,129.318052,134.895,448.6840333,189.482,574.863,82.60175,290.391775,22.91578333,103.268,11.1037,92.7971375,1754.33,60.144,42.7335,24.98035,108.807,19.0387,680.7537364,198.201,78.08453,293.227325,371.8565,119.808,15.4856,10.0944,527.413,198.5384333,125.2608,150.89188,1133.57,249.1513333,114.102,691.6454425,554.8594333,68.17126667,599.1440917,30.05753333,126.622,99.44325,33.922226,15.17225333,274.4927,96.0572,101.9033,214.995975,53.10893333,285.05215,511.899,161.26325,29.69255,709.9151067,148.2003483,216.5122429,181.091075,388.3214,94.36715,69.7953,1755.57,340.52595,607.76,258.48435,176.012,150.609,808.9255167,259.4445,29.6513,34.5033,234.6646,151.369,14.96177,2779.82,142.116,178.43115,378.004,16.0279,42.8892,680.975,11.0454,25.16495,9.72155,3292.95,41.25645,503.2295,35.9487,87.5185,17.9998,448.9485,155.1758525,162.74585,155.29115
1,1637.051667,217.2899667,548.8444,933.072,132.624,951.03365,12.8694,24.99095,369.743,504.9140967,1168.401,414.718,951.03365,73.53305,39.0932625,505.707,169.324,933.072,12.2569,66.41995,122.052966,113.672,504.9140967,170.7252333,67.1218,73.06085,324.56465,12.76388,46.24055,13.1567,120.489815,1653.56,62.7501,40.63265,29.1466,62.1227,49.6762,867.1107364,196.1335,136.7116,279.8433,548.8444,15.8756,14.0975,13.0955,668.417,164.9466,147.82187,302.80758,650.323,205.6423,40.6928,1279.708293,675.977645,80.12588,833.3037167,54.94796667,246.01,89.3392,54.070388,11.84853333,123.738375,105.32615,72.84555,212.202775,49.05733333,107.2964,192.852,170.27925,31.63945,314.2046867,270.89045,213.165,203.7462,292.36445,79.813925,34.5558,1416.63,378.1957,544.758,271.248525,529.819,211.428,932.32788,535.7255,21.7107,27.5311,273.3069,234.688,25.2704,1355.6,163.471,123.4104,587.08,11.6281,17.6953,317.26,6.44562,45.2566,6.07884,2181.5,139.67515,509.901,132.654,58.1094,10.3013,1330.6073,67.7819125,46.7183,257.31745
1,1531.1779,252.7532,566.6434,990.943,128.992,643.3498,22.4325,19.8858,356.574,515.2565333,1394.62,289.841,643.3498,69.14245,26.45444,496.698,179.507,990.943,11.3752,81.14915,147.273606,99.9997,515.2565333,165.8556667,54.4211,83.0461,317.287925,16.87922,84.0734,11.3377,128.248175,2873.73,62.41235,38.005,99.0591,80.5836,49.8806,553.3565091,306.516,152.38925,238.15805,566.6434,11.6173,16.1703,10.0925,579.915,162.2435,179.042005,277.10484,722.861,204.3424,99.7331,1196.205433,725.7760233,74.12635667,659.3357,61.01883333,152.004,326.712,59.74932,9.66587,167.050325,109.2844025,104.20155,224.041275,48.00016667,141.23525,404.957,181.1259,33.5186,481.2165967,153.0091167,298.6462857,206.18025,406.06355,66.5446475,27.014,1676.4,362.0146825,482.87,232.5463,87.29745,248.69,846.2878333,598.6195,22.5926,17.1172,236.642475,197.542,78.9628,1674.74,190.035,130.50585,749.988,15.0209,19.8806,583.018,5.15446,53.7091,5.8384,3249.62,76.35385,505.137,106.486,68.223075,28.8175,354.0675,108.409655,26.65675,165.8569
1,1547.0848,202.6620667,567.1728667,1300.34,117.83,1184.9328,34.3289,26.0825,281.81,354.3182667,1258.4715,703.239,1184.9328,66.23805,31.6703775,551.958,101.89,1300.34,19.0453,82.8164,125.586892,107.2,354.3182667,136.0077667,59.5751,68.9333,294.33575,12.98097667,70.52005,11.5317,104.522025,576.404,82.64575,55.5369,112.56215,63.4818,60.1221,1161.037736,269.3205,103.1758,174.83335,567.1728667,21.8357,26.4408,15.5246,409.259,145.1619333,88.466035,259.84884,237.779,205.2029333,69.5587,1126.43471,646.928335,75.80824333,1004.628675,51.13543333,166.456,640.3595,51.768294,11.56738333,168.134025,129.06341,62.4721,215.23535,33.093,71.771,97.0259,156.656075,32.74595,428.6052967,193.2006,300.1765714,137.46645,252.81725,113.30245,27.014,1502.88,430.589225,421.542,337.0155,70.7095,177.791,966.2919367,914.9985,19.4265,34.5033,195.899675,104.398,34.0807,1090.7,121.042,99.7209,380.259,17.2514,16.4769,1320.45,6.55503,63.1473,5.15391,1542.51,86.7638,491.527,68.9115,45.130225,17.6054,1249.40135,52.587675,20.38275,213.2968
1,1485.511933,214.0627333,520.1641,1357.2,130.603,1148.37405,47.0235,39.87225,363.053,354.5690667,1304.891,807.899,1148.37405,42.1374,31.1271775,527.644,166.601,1357.2,11.9497,77.27755,153.510346,116.408,354.5690667,113.3368333,49.2702,79.15185,278.1217,17.21036667,83.7619,9.74816,109.1736375,981.575,75.37445,63.11285,71.23315,50.749,68.3263,726.5865273,304.045,132.015255,171.972925,520.1641,30.0998,17.2842,13.7806,521.661,150.9775333,51.15777,223.35568,262.757,267.5198667,87.015,1107.33121,498.260965,76.03801333,760.5358167,59.0218,216.118,451.9395,107.419628,11.10887,168.606975,115.564765,112.62965,207.985075,45.07226667,93.27595,61.8508,178.5766,35.86695,453.8363067,206.0828667,265.6341429,167.195425,254.21375,105.314075,25.8555,1376.19,409.1948,419.829,307.7455,17.5968,222.726,1011.28828,579.2595,24.9077,19.5704,157.041575,115.273,43.068,2356.33,148.401,100.779675,507.958,15.0937,13.9959,539.756,7.51943,50.79465,5.51302,1185.28,74.214,597.059,118.298,36.204,11.4554,1211.484,78.09763,24.50525,230.22095
